handle,name,url,httpStatus,shopifyStatus,bioLen,viewpointEmpty,viewpointParseError,masterworksEmpty,imagePresent,imagePermission,deathYear
kawasaki-shoko,"川崎 小虎",https://atspect.com/pages/artist/kawasaki-shoko,200,ACTIVE,199,false,false,false,false,未取得,"1977"
kodama-kibo,"児玉 希望",https://atspect.com/pages/artist/kodama-kibo,200,ACTIVE,173,false,false,false,false,未取得,"1971"
yamamoto-kyujin,"山本 丘人",https://atspect.com/pages/artist/yamamoto-kyujin,200,ACTIVE,191,false,false,false,false,未取得,"1986"
fukuda-toyoshiro,"福田 豊四郎",https://atspect.com/pages/artist/fukuda-toyoshiro,200,ACTIVE,195,false,false,false,false,未取得,"1970"
yoshioka-kenji,"吉岡 堅二",https://atspect.com/pages/artist/yoshioka-kenji,200,ACTIVE,179,false,false,false,false,未取得,"1990"
sugiyama-yasushi,"杉山 寧",https://atspect.com/pages/artist/sugiyama-yasushi,200,ACTIVE,191,false,false,false,false,未取得,"1993"
takayama-tatsuo,"高山 辰雄",https://atspect.com/pages/artist/takayama-tatsuo,200,ACTIVE,204,false,false,false,false,未取得,"2007"
higashiyama-kaii,"東山 魁夷",https://atspect.com/pages/artist/higashiyama-kaii,200,ACTIVE,206,false,false,false,false,未取得,"1999"
hashimoto-meiji,"橋本 明治",https://atspect.com/pages/artist/hashimoto-meiji,200,ACTIVE,194,false,false,false,false,未取得,"1991"
kayama-matazo,"加山 又造",https://atspect.com/pages/artist/kayama-matazo,200,ACTIVE,205,false,false,false,false,未取得,"2004"
hirayama-ikuo,"平山 郁夫",https://atspect.com/pages/artist/hirayama-ikuo,200,ACTIVE,205,false,false,false,false,未取得,"2009"
moriya-tadashi,"守屋 多々志",https://atspect.com/pages/artist/moriya-tadashi,200,ACTIVE,221,false,false,false,false,未取得,"2003"
kataoka-tamako,"片岡 球子",https://atspect.com/pages/artist/kataoka-tamako,200,ACTIVE,190,false,false,false,false,未取得,"2008"
ogura-yuki,"小倉 遊亀",https://atspect.com/pages/artist/ogura-yuki,200,ACTIVE,198,false,false,false,false,未取得,"2000"
akino-fuku,"秋野 不矩",https://atspect.com/pages/artist/akino-fuku,200,ACTIVE,178,false,false,false,false,未取得,"2001"
ikeda-yoson,"池田 遙邨",https://atspect.com/pages/artist/ikeda-yoson,200,ACTIVE,178,false,false,false,false,未取得,"1988"
iwahashi-eien,"岩橋 英遠",https://atspect.com/pages/artist/iwahashi-eien,200,ACTIVE,149,false,false,false,false,未取得,"1999"
tanaka-isson,"田中 一村",https://atspect.com/pages/artist/tanaka-isson,200,ACTIVE,207,false,false,false,false,未取得,"1977"
uemura-shoko,"上村 松篁",https://atspect.com/pages/artist/uemura-shoko,200,ACTIVE,167,false,false,false,false,未取得,"2001"
goto-sumio,"後藤 純男",https://atspect.com/pages/artist/goto-sumio,200,ACTIVE,164,false,false,false,false,未取得,"2016"
maruki-iri,"丸木 位里",https://atspect.com/pages/artist/maruki-iri,200,ACTIVE,163,false,false,false,false,未取得,"1995"
maruki-toshi,"丸木 俊",https://atspect.com/pages/artist/maruki-toshi,200,ACTIVE,171,false,false,false,false,未取得,"2000"
nakamura-masayoshi,"中村 正義",https://atspect.com/pages/artist/nakamura-masayoshi,200,ACTIVE,159,false,false,false,false,未取得,"1977"
fusen-tetsu,"不染 鉄",https://atspect.com/pages/artist/fusen-tetsu,200,ACTIVE,146,false,false,false,false,未取得,"1976"
takahashi-yuichi,"高橋 由一",https://atspect.com/pages/artist/takahashi-yuichi,200,ACTIVE,196,false,false,false,false,未取得,"1894"
goseda-yoshimatsu,"五姓田 義松",https://atspect.com/pages/artist/goseda-yoshimatsu,200,ACTIVE,159,false,false,false,false,未取得,"1915"
asai-chu,"浅井 忠",https://atspect.com/pages/artist/asai-chu,200,ACTIVE,179,false,false,false,false,未取得,"1907"
