そのページの作家	handle	欄	本文中の人名	本人ページの公式表記	言語	判定	本文での表記
奥田 元宋	okuda-genso	bio	児玉希望	Kodama Kibō	es	②語順が逆	Kibō Kodama
奥田 元宋	okuda-genso	bio	児玉希望	Kodama Kibō	de	②語順が逆	Kibō Kodama
加藤 栄三	kato-eizo	bio	加藤東一	Katō Tōichi	en	②語順が逆	Tōichi Katō
加藤 栄三	kato-eizo	bio	加藤東一	Katō Tōichi	fr	②語順が逆	Tōichi Katō
加藤 栄三	kato-eizo	bio	加藤東一	Katō Tōichi	es	②語順が逆	Tōichi Katō
加藤 栄三	kato-eizo	bio	加藤東一	Katō Tōichi	de	②語順が逆	Tōichi Katō
加藤 東一	kato-toichi	bio	加藤栄三	Katō Eizō	en	②語順が逆	Eizō Katō
加藤 東一	kato-toichi	bio	加藤栄三	Katō Eizō	fr	②語順が逆	Eizō Katō
加藤 東一	kato-toichi	bio	加藤栄三	Katō Eizō	es	②語順が逆	Eizō Katō
加藤 東一	kato-toichi	bio	加藤栄三	Katō Eizō	de	②語順が逆	Eizō Katō
中村 貞以	nakamura-teii	bio	北野恒富	Kitano Tsunetomi	en	②語順が逆	Tsunetomi Kitano
中村 貞以	nakamura-teii	bio	北野恒富	Kitano Tsunetomi	fr	②語順が逆	Tsunetomi Kitano
中村 貞以	nakamura-teii	bio	北野恒富	Kitano Tsunetomi	es	②語順が逆	Tsunetomi Kitano
中村 貞以	nakamura-teii	bio	北野恒富	Kitano Tsunetomi	de	②語順が逆	Tsunetomi Kitano
岩崎 巴人	iwasaki-hajin	bio	小林古径	Kobayashi Kokei	en	②語順が逆	Kokei Kobayashi
岩崎 巴人	iwasaki-hajin	bio	小林古径	Kobayashi Kokei	fr	②語順が逆	Kokei Kobayashi
岩崎 巴人	iwasaki-hajin	bio	小林古径	Kobayashi Kokei	es	②語順が逆	Kokei Kobayashi
岩崎 巴人	iwasaki-hajin	bio	小林古径	Kobayashi Kokei	de	②語順が逆	Kokei Kobayashi
岩崎 巴人	iwasaki-hajin	bio	横山大観	Yokoyama Taikan	en	②語順が逆	Taikan Yokoyama
岩崎 巴人	iwasaki-hajin	bio	横山大観	Yokoyama Taikan	fr	②語順が逆	Taikan Yokoyama
岩崎 巴人	iwasaki-hajin	bio	横山大観	Yokoyama Taikan	es	②語順が逆	Taikan Yokoyama
岩崎 巴人	iwasaki-hajin	bio	横山大観	Yokoyama Taikan	de	②語順が逆	Taikan Yokoyama
大澤 竹胎	osawa-chikutai	bio	大澤雅休	Ōsawa Gakyū	en	③長音/アポストロフィ違い	~Ōsawa Gakyū
大澤 竹胎	osawa-chikutai	bio	大澤雅休	Ōsawa Gakyū	fr	③長音/アポストロフィ違い	~Ōsawa Gakyū
大澤 竹胎	osawa-chikutai	bio	大澤雅休	Ōsawa Gakyū	es	③長音/アポストロフィ違い	~Ōsawa Gakyū
大澤 竹胎	osawa-chikutai	bio	大澤雅休	Ōsawa Gakyū	de	③長音/アポストロフィ違い	~Ōsawa Gakyū
水之江 忠臣	mizunoe-tadaomi	bio	前川國男	Maekawa Kunio	en	②語順が逆	Kunio Maekawa
水之江 忠臣	mizunoe-tadaomi	bio	前川國男	Maekawa Kunio	fr	②語順が逆	Kunio Maekawa
水之江 忠臣	mizunoe-tadaomi	bio	前川國男	Maekawa Kunio	es	②語順が逆	Kunio Maekawa
水之江 忠臣	mizunoe-tadaomi	bio	前川國男	Maekawa Kunio	de	②語順が逆	Kunio Maekawa
丹下 健三	tange-kenzo	bio	前川國男	Maekawa Kunio	en	②語順が逆	Kunio Maekawa
丹下 健三	tange-kenzo	bio	前川國男	Maekawa Kunio	fr	②語順が逆	Kunio Maekawa
丹下 健三	tange-kenzo	bio	前川國男	Maekawa Kunio	es	②語順が逆	Kunio Maekawa
