系譜	氏名	よみ	分野	会員区分	あつぺくと627との関係	出どころURL
現代工芸	中村 茂子	（協会サイトに記載なし）	革	本会員	同姓: 中村岳陵・中村大三郎・中村正義	http://www.gendaikougei.or.jp/member2.html
現代工芸	中村 ノリコ	（協会サイトに記載なし）	革	本会員	同姓: 中村岳陵・中村大三郎・中村正義	http://www.gendaikougei.or.jp/member2.html
現代工芸	平野 淑子	（協会サイトに記載なし）	革	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	松原 百合子	（協会サイトに記載なし）	革	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	阿部 順子	（協会サイトに記載なし）	七宝	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	加納 由美子	（協会サイトに記載なし）	七宝	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	福田 典子	（協会サイトに記載なし）	七宝	本会員	同姓: 福田平八郎・福田豊四郎・福田繁雄	http://www.gendaikougei.or.jp/member2.html
現代工芸	山村 倫代	（協会サイトに記載なし）	七宝	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	海川 盛利	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	加納 義晴	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	下坂 邦和	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	鈴木 良一	（協会サイトに記載なし）	木・竹・籐	本会員	同姓: 鈴木千賀子・鈴木信太郎・鈴木翠軒	http://www.gendaikougei.or.jp/member2.html
現代工芸	髙橋 本榮	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	竹河 いみ子	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	土橋 恵	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	林 惠美子	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	松田 富行	（協会サイトに記載なし）	木・竹・籐	本会員	同姓: 松田権六	http://www.gendaikougei.or.jp/member2.html
現代工芸	森 賢一	（協会サイトに記載なし）	木・竹・籐	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	横山 幹	（協会サイトに記載なし）	木・竹・籐	本会員	同姓: 横山大観・横山操・横山松三郎	http://www.gendaikougei.or.jp/member2.html
現代工芸	秋永 尚子	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	阿部 泉	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	上前 功夫	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	同姓: 上前智祐	http://www.gendaikougei.or.jp/member2.html
現代工芸	小口 隆史	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	何 穎斯	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	梶谷 由起	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	黒木 房子	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	近藤 佐起江	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	同姓: 近藤悠三・近藤雪竹	http://www.gendaikougei.or.jp/member2.html
現代工芸	桜井 美智子	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	同姓: 桜井祐一	http://www.gendaikougei.or.jp/member2.html
現代工芸	佐藤 洋子	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	同姓: 佐藤玄々・佐藤忠良・佐藤太清	http://www.gendaikougei.or.jp/member2.html
現代工芸	鈴木 義之	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	同姓: 鈴木千賀子・鈴木信太郎・鈴木翠軒	http://www.gendaikougei.or.jp/member2.html
現代工芸	細井 基夫	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	松本 梨江	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	同姓: 松本竣介・松本芳翠	http://www.gendaikougei.or.jp/member2.html
現代工芸	六谷 春樹	（協会サイトに記載なし）	ガラス・紙・ジュエリー・その他	本会員	—	http://www.gendaikougei.or.jp/member2.html
