区分,小分類,handle,氏名(日本語),現行ローマ字,読み(かな),規則から作った形,判定の理由
規則どおり,,suwa-sozan,諏訪 蘇山,Suwa Sozan,すわ そざん,,符号つきで一致
要裁定,(a) 長音の書き方,ito-tozan,伊東 陶山,Ito Tozan,いとう とうざん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,uno-soyo,宇野 宗甕,Uno Soyo,うの そうよう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kato-tokuro,加藤 唐九郎,Kato Tokuro,かとう とうくろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kawamoto-goro,河本 五郎,Kawamoto Goro,かわもと ごろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yamada-hikaru,山田 光,Yamada Hikaru,やまだ ひかる,,符号つきで一致
規則どおり,,kumakura-junkichi,熊倉 順吉,Kumakura Junkichi,くまくら じゅんきち,,符号つきで一致
規則どおり,,tokuda-yasokichi,徳田 八十吉,Tokuda Yasokichi,とくだ やそきち,,符号つきで一致
規則どおり,,asakura-isokichi,浅蔵 五十吉,Asakura Isokichi,あさくら いそきち,,符号つきで一致
要裁定,(a) 長音の書き方,kitade-tojiro,北出 塔次郎,Kitade Tojiro,きたで とうじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kitamura-takeshi,北村 武資,Kitamura Takeshi,きたむら たけし,,符号つきで一致
規則どおり,,yamada-mitsugi,山田 貢,Yamada Mitsugi,やまだ みつぎ,,符号つきで一致
規則どおり,,hata-tokio,羽田 登喜男,Hata Tokio,はた ときお,,符号つきで一致
規則どおり,,taira-toshiko,平良 敏子,Taira Toshiko,たいら としこ,,符号つきで一致
規則どおり,,yonamine-sada,与那嶺 貞,Yonamine Sada,よなみね さだ,,符号つきで一致
規則どおり,,kodama-hiroshi,児玉 博,Kodama Hiroshi,こだま ひろし,,符号つきで一致
定着表記の候補,,nambu-yoshimatsu,南部 芳松,Nambu Yoshimatsu,なんぶ よしまつ,なんぶ→現行 Nambu ／規則の形 Nanbu・Nanbu・Nanbu,不一致(撥音にm)（出典の確認が要る）
規則どおり,,isoi-joshin,磯井 如真,Isoi Joshin,いそい じょしん,,符号つきで一致
規則どおり,,isoi-masami,磯井 正美,Isoi Masami,いそい まさみ,,符号つきで一致
規則どおり,,rokkaku-shisui,六角 紫水,Rokkaku Shisui,ろっかく しすい,,符号つきで一致
要裁定,(a) 長音の書き方,yamazaki-kakutaro,山崎 覚太郎,Yamazaki Kakutaro,やまざき かくたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,saji-tadasu,佐治 賢使,Saji Tadasu,さじ ただす,,符号つきで一致
規則どおり,,katori-masahiko,香取 正彦,Katori Masahiko,かとり まさひこ,,符号つきで一致
規則どおり,,eri-sayoko,江里 佐代子,Eri Sayoko,えり さよこ,,符号つきで一致
要裁定,(a) 長音の書き方,iizuka-shokansai,飯塚 小玕斎,Iizuka Shokansai,いいづか しょうかんさい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,ono-showasai,大野 昭和斎,Ono Showasai,おおの しょうわさい,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,nakadai-zuishin,中臺 瑞真,Nakadai Zuishin,なかだい ずいしん,,符号つきで一致
規則どおり,,noguchi-mitsuhiko,野口 光彦,Noguchi Mitsuhiko,のぐち みつひこ,,符号つきで一致
規則どおり,,amata-akitsugu,天田 昭次,Amata Akitsugu,あまた あきつぐ,,符号つきで一致
要裁定,(a) 長音の書き方,osumi-toshihira,大隅 俊平,Osumi Toshihira,おおすみ としひら,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,yokoyama-matsusaburo,横山 松三郎,Yokoyama Matsusaburo,よこやま まつさぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(b) 個別,kajima-seibei,鹿島 清兵衛,Kajima Seibei,かじま せいべえ,せいべえ→現行 Seibei ／規則の形 Seibē・Seibee・Seibe,不一致(読みと合わない)
要裁定,(a) 長音の書き方,fukuhara-roso,福原 路草,Fukuhara Roso,ふくはら ろそう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kanamaru-shigene,金丸 重嶺,Kanamaru Shigene,かなまる しげね,,符号つきで一致
規則どおり,,sakata-minoru,坂田 稔,Sakata Minoru,さかた みのる,,符号つきで一致
規則どおり,,hirai-terushichi,平井 輝七,Hirai Terushichi,ひらい てるしち,,符号つきで一致
規則どおり,,tamura-shigeru,田村 茂,Tamura Shigeru,たむら しげる,,符号つきで一致
要裁定,(a) 長音の書き方,ishizu-ryosuke,石津 良介,Ishizu Ryosuke,いしづ りょうすけ,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kageyama-koyo,影山 光洋,Kageyama Koyo,かげやま こうよう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kikuchi-shunkichi,菊池 俊吉,Kikuchi Shunkichi,きくち しゅんきち,,符号つきで一致
規則どおり,,sonobe-kiyoshi,薗部 澄,Sonobe Kiyoshi,そのべ きよし,,符号つきで一致
要裁定,(a) 長音の書き方,shimizu-buko,清水 武甲,Shimizu Buko,しみず ぶこう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,iwamiya-takeji,岩宮 武二,Iwamiya Takeji,いわみや たけじ,,符号つきで一致
規則どおり,,fujimoto-shihachi,藤本 四八,Fujimoto Shihachi,ふじもと しはち,,符号つきで一致
規則どおり,,nakamura-masaya,中村 正也,Nakamura Masaya,なかむら まさや,,符号つきで一致
要裁定,(a) 長音の書き方,otsuka-gen,大束 元,Otsuka Gen,おおつか げん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,fukushima-kikujiro,福島 菊次郎,Fukushima Kikujiro,ふくしま きくじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,morooka-koji,師岡 宏次,Morooka Koji,もろおか こうじ,,長音を書かない形（規則の2つの書き方のどちらでもない）
定着表記の候補,,ei-q,瑛九,Ei-Q,えいきゅう,えいきゅう→現行 Ei-Q ／規則の形 Eikyū・Eikyuu・Eikyu,不一致(別綴り)（出典の確認が要る）
要裁定,(a) 長音の書き方,kitadai-shozo,北代 省三,Kitadai Shozo,きただい しょうぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,fukushima-hideko,福島 秀子,Fukushima Hideko,ふくしま ひでこ,,符号つきで一致
要裁定,(a) 長音の書き方,komai-tetsuro,駒井 哲郎,Komai Tetsuro,こまい てつろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,hamada-chimei,浜田 知明,Hamada Chimei,はまだ ちめい,,符号つきで一致
規則どおり,,ikeda-masuo,池田 満寿夫,Ikeda Masuo,いけだ ますお,,符号つきで一致
規則どおり,,yoshihara-hideo,吉原 英雄,Yoshihara Hideo,よしはら ひでお,,符号つきで一致
規則どおり,,tabuchi-yasukazu,田淵 安一,Tabuchi Yasukazu,たぶち やすかず,,符号つきで一致
規則どおり,,kuwayama-tadaaki,桑山 忠明,Kuwayama Tadaaki,くわやま ただあき,,母音字を並べる形で一致／符号つきで一致
要裁定,(a) 長音の書き方,okamoto-shinjiro,岡本 信治郎,Okamoto Shinjiro,おかもと しんじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,toneyama-kojin,利根山 光人,Toneyama Kojin,とねやま こうじん,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(b) 個別,saito-shinichi,斎藤 真一,Saito Shinichi,さいとう しんいち,しんいち→現行 Shinichi ／規則の形 Shin'ichi・Shin'ichi・Shin'ichi,不一致(読みと合わない)
定着表記の候補,,tateishi-tiger,立石 大河亞,Tateishi Tiger,たていし たいがー,たいがー→現行 Tiger ／規則の形 Taigā・Taigaa・Taiga,不一致(訓令式)（出典の確認が要る）
要裁定,(a) 長音の書き方,tanaka-shintaro,田中 信太郎,Tanaka Shintaro,たなか しんたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,takayama-noboru,高山 登,Takayama Noboru,たかやま のぼる,,符号つきで一致
要裁定,(a) 長音の書き方,ida-shoichi,井田 照一,Ida Shoichi,いだ しょういち,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yoshida-minoru,ヨシダ ミノル,Yoshida Minoru,よしだ みのる,,符号つきで一致
要裁定,(a) 長音の書き方,nishikawa-shundo,西川 春洞,Nishikawa Shundo,にしかわ しゅんどう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,niwa-kaikaku,丹羽 海鶴,Niwa Kaikaku,にわ かいかく,,符号つきで一致
要裁定,(b) 個別,kondo-sechiku,近藤 雪竹,Kondo Sechiku,こんどう せっちく,せっちく→現行 Sechiku ／規則の形 Secchiku・Secchiku・Secchiku,不一致(読みと合わない)
要裁定,(a) 長音の書き方,takeda-kado,武田 霞洞,Takeda Kado,たけだ かどう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,watanabe-sao,渡辺 沙鴎,Watanabe Sao,わたなべ さおう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,matsui-joryu,松井 如流,Matsui Joryu,まつい じょりゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,miyamoto-chikkei,宮本 竹逕,Miyamoto Chikkei,みやもと ちっけい,,符号つきで一致
要裁定,(a) 長音の書き方,osawa-chikutai,大澤 竹胎,Osawa Chikutai,おおさわ ちくたい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,nakamura-sodo,中村 素堂,Nakamura Sodo,なかむら そどう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,fukayama-ryudo,深山 龍洞,Miyama Ryudo,みやま りゅうどう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,hidai-shokin,比田井 小琴,Hidai Shokin,ひだい しょうきん,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,namai-shika,生井 子華,Namai Shika,なまい しか,,符号つきで一致
規則どおり,,kurihara-rosui,栗原 蘆水,Kurihara Rosui,くりはら ろすい,,符号つきで一致
規則どおり,,takagi-seikaku,高木 聖鶴,Takagi Seikaku,たかぎ せいかく,,符号つきで一致
要裁定,(a) 長音の書き方,morita-shiryu,森田 子龍,Morita Shiryu,もりた しりゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,shinoda-toko,篠田 桃紅,Shinoda Toko,しのだ とうこう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,eguchi-sogen,江口 草玄,Eguchi Sogen,えぐち そうげん,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,aida-mitsuo,相田 みつを,Aida Mitsuo,あいだ みつを,,符号つきで一致
規則どおり,,wada-makoto,和田 誠,Wada Makoto,わだ まこと,,符号つきで一致
規則どおり,,nagatomo-keisuke,長友 啓典,Nagatomo Keisuke,ながとも けいすけ,,符号つきで一致
規則どおり,,nadamoto-tadahito,灘本 唯人,Nadamoto Tadahito,なだもと ただひと,,符号つきで一致
規則どおり,,toda-tsutomu,戸田 ツトム,Toda Tsutomu,とだ つとむ,,符号つきで一致
規則どおり,,nagai-kazumasa,永井 一正,Nagai Kazumasa,ながい かずまさ,,符号つきで一致
要裁定,(a) 長音の書き方,naito-rune,内藤 ルネ,Naito Rune,ないとう るね,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,hashiguchi-goyo,橋口 五葉,Hashiguchi Goyo,はしぐち ごよう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kobayashi-kaichi,小林 かいち,Kobayashi Kaichi,こばやし かいち,,符号つきで一致
要裁定,(a) 長音の書き方,sano-shigejiro,佐野 繁次郎,Sano Shigejiro,さの しげじろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,ochi-hiroshi,大智 浩,Ochi Hiroshi,おおち ひろし,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,nakamura-nobuo,中村 乃武夫,Nakamura Nobuo,なかむら のぶお,,符号つきで一致
要裁定,(a) 長音の書き方,ito-mohei,伊東 茂平,Ito Mohei,いとう もへい,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,mizunoe-tadaomi,水之江 忠臣,Mizunoe Tadaomi,みずのえ ただおみ,,符号つきで一致
要裁定,(a) 長音の書き方,koike-iwataro,小池 岩太郎,Koike Iwataro,こいけ いわたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,anzai-mizumaru,安西 水丸,Anzai Mizumaru,あんざい みずまる,,符号つきで一致
規則どおり,,harada-osamu,原田 治,Harada Osamu,はらだ おさむ,,符号つきで一致
規則どおり,,tatsuno-kingo,辰野 金吾,Tatsuno Kingo,たつの きんご,,符号つきで一致
要裁定,(a) 長音の書き方,ito-chuta,伊東 忠太,Ito Chuta,いとう ちゅうた,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,katayama-tokuma,片山 東熊,Katayama Tokuma,かたやま とうくま,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,tange-kenzo,丹下 健三,Tange Kenzo,たんげ けんぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,seike-kiyoshi,清家 清,Seike Kiyoshi,せいけ きよし,,符号つきで一致
規則どおり,,isozaki-arata,磯崎 新,Isozaki Arata,いそざき あらた,,符号つきで一致
規則どおり,,maki-fumihiko,槇 文彦,Maki Fumihiko,まき ふみひこ,,符号つきで一致
規則どおり,,uchida-yoshikazu,内田 祥三,Uchida Yoshikazu,うちだ よしかず,,符号つきで一致
要裁定,(a) 長音の書き方,murano-togo,村野 藤吾,Murano Togo,むらの とうご,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,maekawa-kunio,前川 國男,Maekawa Kunio,まえかわ くにお,,符号つきで一致
規則どおり,,yoshida-isoya,吉田 五十八,Yoshida Isoya,よしだ いそや,,符号つきで一致
要裁定,(a) 長音の書き方,taniguchi-yoshiro,谷口 吉郎,Taniguchi Yoshiro,たにぐち よしろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,sano-toshikata,佐野 利器,Sano Toshikata,さの としかた,,符号つきで一致
判定不能,,kikutake-kiyonori,菊竹清訓,Kikutake Kiyonori,,,読み（かな）が手元のどのデータにも無い
判定不能,,ashihara-yoshinobu,芦原義信,Ashihara Yoshinobu,,,読み（かな）が手元のどのデータにも無い
判定不能,,otaka-masato,大高正人,Otaka Masato,,,読み（かな）が手元のどのデータにも無い
判定不能,,sakakura-junzo,坂倉準三,Sakakura Junzo,,,読み（かな）が手元のどのデータにも無い
判定不能,,yoshizaka-takamasa,吉阪隆正,Yoshizaka Takamasa,,,読み（かな）が手元のどのデータにも無い
判定不能,,imai-kenji,今井兼次,Imai Kenji,,,読み（かな）が手元のどのデータにも無い
判定不能,,kurokawa-kisho,黒川紀章,Kurokawa Kisho,,,読み（かな）が手元のどのデータにも無い
判定不能,,shinohara-kazuo,篠原一男,Shinohara Kazuo,,,読み（かな）が手元のどのデータにも無い
判定不能,,azuma-takamitsu,東孝光,Azuma Takamitsu,,,読み（かな）が手元のどのデータにも無い
判定不能,,tsuchiura-kameki,土浦亀城,Tsuchiura Kameki,,,読み（かな）が手元のどのデータにも無い
判定不能,,kishida-hideto,岸田日出刀,Kishida Hideto,,,読み（かな）が手元のどのデータにも無い
判定不能,,shirai-seiichi,白井晟一,Shirai Seiichi,,,読み（かな）が手元のどのデータにも無い
判定不能,,yamaguchi-bunzo,山口文象,Yamaguchi Bunzo,,,読み（かな）が手元のどのデータにも無い
判定不能,,ikebe-kiyoshi,池辺陽,Ikebe Kiyoshi,,,読み（かな）が手元のどのデータにも無い
判定不能,,nishizawa-fumitaka,西澤文隆,Nishizawa Fumitaka,,,読み（かな）が手元のどのデータにも無い
