区分,小分類,handle,氏名(日本語),現行ローマ字,読み(かな),規則から作った形,判定の理由
要裁定,(a) 長音の書き方,yamahata-yosuke,山端 庸介,Yamahata Yosuke,やまはた ようすけ,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,sawada-kyoichi,沢田 教一,Sawada Kyoichi,さわだ きょういち,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,gocho-shigeo,牛腸 茂雄,Gocho Shigeo,ごちょう しげお,,長音を書かない形（規則の2つの書き方のどちらでもない）
定着表記の候補,,hosoe-eikoh,細江 英公,Hosoe Eikoh,ほそえ えいこう,えいこう→現行 Eikoh ／規則の形 Eikō・Eikou・Eiko,不一致(オ列長音にh/英語風の綴り)（出典の確認が要る）
規則どおり,,shinoyama-kishin,篠山 紀信,Shinoyama Kishin,しのやま きしん,,符号つきで一致
要裁定,(a) 長音の書き方,otake-shoji,大竹 省二,Otake Shoji,おおたけ しょうじ,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,haga-hideo,芳賀 日出男,Haga Hideo,はが ひでお,,符号つきで一致
要裁定,(b) 個別,taira-koichi,平良 孝七,Taira Koichi,たいら こうしち,こうしち→現行 Koichi ／規則の形 Kōshichi・Koushichi・Koshichi,不一致(読みと合わない)
規則どおり,,suda-issei,須田 一政,Suda Issei,すだ いっせい,,符号つきで一致
規則どおり,,kurata-seiji,倉田 精二,Kurata Seiji,くらた せいじ,,符号つきで一致
規則どおり,,yamazawa-eiko,山沢 栄子,Yamazawa Eiko,やまざわ えいこ,,符号つきで一致
規則どおり,,tokiwa-toyoko,常盤 とよ子,Tokiwa Toyoko,ときわ とよこ,,符号つきで一致
要裁定,(a) 長音の書き方,ichinose-taizo,一ノ瀬 泰造,Ichinose Taizo,いちのせ たいぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,hoshino-michio,星野 道夫,Hoshino Michio,ほしの みちお,,符号つきで一致
規則どおり,,futagawa-yukio,二川 幸夫,Futagawa Yukio,ふたがわ ゆきお,,符号つきで一致
要裁定,(a) 長音の書き方,fuchikami-hakuyo,淵上 白陽,Fuchikami Hakuyo,ふちかみ はくよう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,hidaka-chotaro,日高 長太郎,Hidaka Chotaro,ひだか ちょうたろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,sugiura-hisui,杉浦 非水,Sugiura Hisui,すぎうら ひすい,,符号つきで一致
